"","country_name","adj_r_2","(Intercept).Estimate","(Intercept).Std. Error","(Intercept).t value","(Intercept).Pr(>|t|)","curr_cty.Estimate","curr_cty.Std. Error","curr_cty.t value","curr_cty.Pr(>|t|)"
"1","France",0.530544580306249,0.294717090729366,0.0559257972272406,5.26978792151781,0.000514014267491559,0.44056645831709,0.125613503400896,3.50731765605662,0.00664658919132672
"2","UK",0.512212313529061,0.274242232214569,0.0637629385025108,4.30096602595833,0.00198783453804497,0.548814813595887,0.161831575813535,3.3912715169272,0.00798299507550748
"3","Netherlands",0.508720196168014,0.314337724387917,0.0524571273017273,5.99227865795782,0.000204426765387474,0.46051827543203,0.136663744578896,3.36971796617334,0.00826068081038089
"4","Canada",0.442210942729698,0.292735197975929,0.0661533726558654,4.42509861891333,0.00165888773655019,0.451349011658454,0.151055744577325,2.98796323781919,0.0152512294507539
"5","Germany",0.404817082929511,0.317154828112527,0.062088533726866,5.1081062649623,0.000638131488877031,0.424495397788917,0.151978561484112,2.79312683080827,0.0209465422324022
"6","Ireland",0.317435912913546,0.384897685968697,0.0449043078459547,8.5715091587448,1.27023102337121e-05,0.279988233625816,0.117785275295074,2.37710726510078,0.0414236304976424
"7","Sweden",0.270497386115005,0.435277721587272,0.027215935895666,15.9934871707494,6.4555084343603e-08,0.210680384672583,0.0970973228639083,2.16978572074405,0.0581337687976335
"8","Switzerland",0.231768497233728,0.279342651487925,0.104731992136791,2.66721415098333,0.0257396890711106,0.489226792391209,0.244097991330149,2.00422293409828,0.0760333058902767
"9","Denmark",0.181362113195607,0.405510158718946,0.0477046378334308,8.50043469850577,1.3588448696797e-05,0.197926246792555,0.110378629703105,1.79315731065818,0.106537817607496
"10","Singapore",0.142432691917258,0.457572805753173,0.0229312399389211,19.9541240234697,9.26528725721858e-09,0.0995500528291784,0.0610278188318378,1.63122416522027,0.137279655097772
"11","Japan",0.115896840553174,0.335370245798519,0.101124946086875,3.31639480440767,0.00899181162833815,0.33971298363172,0.22347133695644,1.52016356217504,0.162791505494609
"12","Belgium",0.0900001099236043,0.421360111927909,0.0490563382229997,8.58931031526438,1.24904486800998e-05,0.166653160251079,0.118166621126419,1.41032347935876,0.192056789139665
"13","Italy",-0.0227979355667065,0.451265526380973,0.0438770532732237,10.2847728531569,2.8311034575946e-06,0.124215472787177,0.140908312123404,0.881534033836077,0.400958291113417
"14","Australia",-0.0602208491339811,0.461868017143481,0.0420528438308002,10.9830388404125,1.63101748280592e-06,0.0533342603408564,0.0811457630865618,0.657264881272512,0.527459701522142
